Nom,Age,Nationalite,Prix_Raw,URL_Profil,Matchs_22_23,Buts_22_23,Passes_22_23,Minutes_22_23,Position
Victor Kristiansen,,Danemark,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/victor-kristiansen/profil/spieler/564529,38,1,2,2792,À récupérer
Juanmi,,Espagne,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/juanmi/profil/spieler/126737,27,4,1,1210,À récupérer
Joe Worrall,,Angleterre,Montant du prêt:500 K €,https://www.transfermarkt.fr/joe-worrall/profil/spieler/415970,34,1,0,2576,À récupérer
Marquinhos,,Brésil,Montant du prêt:300 K €,https://www.transfermarkt.fr/marquinhos/profil/spieler/668268,22,6,4,1246,À récupérer
Naby Keïta,,Guinée,Tr. libre,https://www.transfermarkt.fr/naby-keita/profil/spieler/302215,13,0,0,488,À récupérer
Daniel Amartey,,Ghana,Tr. libre,https://www.transfermarkt.fr/daniel-amartey/profil/spieler/214056,24,0,0,1970,À récupérer
Branco van den Boomen,,Pays-Bas,Tr. libre,https://www.transfermarkt.fr/branco-van-den-boomen/profil/spieler/203938,40,6,13,3209,À récupérer
Mahmoud Dahoud,,Syrie,Tr. libre,https://www.transfermarkt.fr/mahmoud-dahoud/profil/spieler/191422,10,0,1,418,À récupérer
Moussa Dembélé,,France,Tr. libre,https://www.transfermarkt.fr/moussa-dembele/profil/spieler/229004,28,3,1,1074,À récupérer
Joseph Paintsil,,Ghana,"8,50 mio. €",https://www.transfermarkt.fr/joseph-paintsil/profil/spieler/534435,39,18,13,3185,À récupérer
Musa Barrow,,Gambie,"6,00 mio. €",https://www.transfermarkt.fr/musa-barrow/profil/spieler/486624,35,3,8,2123,À récupérer
Nino,,Brésil,"5,00 mio. €",https://www.transfermarkt.fr/nino/profil/spieler/520454,55,5,2,4747,À récupérer
Altay Bayındır,,Turquie,"5,00 mio. €",https://www.transfermarkt.fr/altay-bayindir/profil/spieler/336077,40,0,3,3630,À récupérer
Duje Caleta-Car,,Croatie,"Montant du prêt:1,54 mio. €",https://www.transfermarkt.fr/duje-caleta-car/profil/spieler/238266,20,2,0,1472,À récupérer
Leander Dendoncker,,Belgique,Montant du prêt:608 K €,https://www.transfermarkt.fr/leander-dendoncker/profil/spieler/168157,26,0,0,1049,À récupérer
Andrea Petagna,,Italie,"9,70 mio. €",https://www.transfermarkt.fr/andrea-petagna/profil/spieler/199258,32,5,7,1689,À récupérer
Róger Guedes,,Brésil,"9,10 mio. €",https://www.transfermarkt.fr/roger-guedes/profil/spieler/348263,41,21,2,3633,À récupérer
Gianluca Prestianni,,Argentine,"9,00 mio. €",https://www.transfermarkt.fr/gianluca-prestianni/profil/spieler/1000674,33,3,0,1660,À récupérer
Giovani,,Brésil,"9,00 mio. €",https://www.transfermarkt.fr/giovani/profil/spieler/749560,15,1,3,384,À récupérer
Lucas Boyé,,Argentine,"8,74 mio. €",https://www.transfermarkt.fr/lucas-boye/profil/spieler/334222,37,7,4,2580,À récupérer
Rodrigo Becão,,Brésil,"8,31 mio. €",https://www.transfermarkt.fr/rodrigo-becao/profil/spieler/410158,28,2,1,2487,À récupérer
