Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Jota,24,Portugal,"13,00 mio. €","29,10 mio. €",https://www.transfermarkt.fr/jota/profil/spieler/329812
Hugo Ekitiké,21,France,"20,00 mio. €","28,50 mio. €",https://www.transfermarkt.fr/hugo-ekitike/profil/spieler/709726
Jesper Lindstrøm,23,Danemark,"28,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/jesper-lindstrom/profil/spieler/513245
Gianluca Scamacca,24,Italie,"22,00 mio. €","28,00 mio. €",https://www.transfermarkt.fr/gianluca-scamacca/profil/spieler/315867
Alex Iwobi,27,Nigeria,"28,00 mio. €","25,70 mio. €",https://www.transfermarkt.fr/alex-iwobi/profil/spieler/242631
Evan Ndicka,23,Côte d'Ivoire,Inconnu,"28,00 mio. €",https://www.transfermarkt.fr/evan-ndicka/profil/spieler/371149
Konrad Laimer,26,Autriche,Inconnu,"28,00 mio. €",https://www.transfermarkt.fr/konrad-laimer/profil/spieler/223967
Aymeric Laporte,29,Espagne,"25,00 mio. €","27,50 mio. €",https://www.transfermarkt.fr/aymeric-laporte/profil/spieler/176553
Lesley Ugochukwu,19,France,"9,00 mio. €","27,00 mio. €",https://www.transfermarkt.fr/lesley-ugochukwu/profil/spieler/711999
Carlos Baleba,19,Cameroun,"5,00 mio. €","27,00 mio. €",https://www.transfermarkt.fr/carlos-baleba/profil/spieler/973085
Daichi Kamada,26,Japon,Inconnu,"27,00 mio. €",https://www.transfermarkt.fr/daichi-kamada/profil/spieler/356141
Tyler Adams,24,États-Unis,"18,00 mio. €","26,90 mio. €",https://www.transfermarkt.fr/tyler-adams/profil/spieler/332705
Nathan Collins,22,Irlande,"22,00 mio. €","26,85 mio. €",https://www.transfermarkt.fr/nathan-collins/profil/spieler/469050
Arda Güler,18,Turquie,"15,00 mio. €","26,00 mio. €",https://www.transfermarkt.fr/arda-guler/profil/spieler/861410
Hamed Traoré,23,Côte d'Ivoire,"22,00 mio. €","25,62 mio. €",https://www.transfermarkt.fr/hamed-traore/profil/spieler/391065
Christoph Baumgartner,23,Autriche,"24,00 mio. €","25,50 mio. €",https://www.transfermarkt.fr/christoph-baumgartner/profil/spieler/324278
Beto,25,Guinée-Bissau,"25,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/beto/profil/spieler/595809
Lovro Majer,25,Croatie,"20,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/lovro-majer/profil/spieler/387106
Radu Drăgușin,21,Roumanie,"20,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/radu-dragusin/profil/spieler/568559
Kevin Schade,21,Allemagne,"25,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/kevin-schade/profil/spieler/473050
Ernest Nuamah,19,Ghana,"6,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/ernest-nuamah/profil/spieler/955070
Antoine Griezmann,32,France,"25,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/antoine-griezmann/profil/spieler/125781
Marcos Leonardo,20,Brésil,"25,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/marcos-leonardo/profil/spieler/668267
Samuel Chukwueze,24,Nigeria,"25,00 mio. €","21,10 mio. €",https://www.transfermarkt.fr/samuel-chukwueze/profil/spieler/401922
Christian Pulisic,24,États-Unis,"25,00 mio. €","20,80 mio. €",https://www.transfermarkt.fr/christian-pulisic/profil/spieler/315779
Ruben Loftus-Cheek,27,Angleterre,"25,00 mio. €","18,90 mio. €",https://www.transfermarkt.fr/ruben-loftus-cheek/profil/spieler/202886
Marcelo Brozović,30,Croatie,"25,00 mio. €","15,70 mio. €",https://www.transfermarkt.fr/marcelo-brozovic/profil/spieler/156617
Hirving Lozano,28,Mexique,"25,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/hirving-lozano/profil/spieler/316889
