Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Artem Dovbyk,28,Ukraine,"7,75 mio. €",https://www.transfermarkt.fr/artem-dovbyk/profil/spieler/343537,Avant-centre,39,29,3437
Abde Ezzalzouli,24,Maroc,"7,50 mio. €",https://www.transfermarkt.fr/abde-ezzalzouli/profil/spieler/724520,Ailier gauche,34,6,1903
Diogo Leite,27,Portugal,"7,00 mio. €",https://www.transfermarkt.fr/diogo-leite/profil/spieler/357156,Défenseur central,40,0,3292
Tiago Djaló,25,Portugal,"5,10 mio. €",https://www.transfermarkt.fr/tiago-djalo/profil/spieler/420465,Défenseur central,26,2,2111
Carlos Alcaraz,23,Argentine,"Montant du prêt:3,90 mio. €",https://www.transfermarkt.fr/carlos-alcaraz/profil/spieler/748319,Milieu central,21,4,1259
Hugo Ekitiké,23,France,"Montant du prêt:3,50 mio. €",https://www.transfermarkt.fr/hugo-ekitike/profil/spieler/709726,Avant-centre,32,4,1396
Callum Hudson-Odoi,25,Angleterre,"3,50 mio. €",https://www.transfermarkt.fr/callum-hudson-odoi/profil/spieler/392768,Ailier gauche,21,1,1074
Vitinha,25,Portugal,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/vitinha/profil/spieler/586853,Avant-centre,43,15,2305
Ruslan Malinovskyi,32,Ukraine,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,Milieu offensif,38,3,2029
Arthur Melo,29,Brésil,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/arthur-melo/profil/spieler/362842,Milieu central,4,0,256
Renato Sanches,28,Portugal,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/renato-sanches/profil/spieler/258027,Milieu central,27,2,905
Maxime Lopez,28,France,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/maxime-lopez/profil/spieler/290862,Milieu défensif,31,0,2342
Alexis Saelemaekers,26,Belgique,Montant du prêt:500 K €,https://www.transfermarkt.fr/alexis-saelemaekers/profil/spieler/381950,Milieu droit,39,4,1838
Çağlar Söyüncü,29,Turquie,Tr. libre,https://www.transfermarkt.fr/caglar-soyuncu/profil/spieler/320141,Défenseur central,9,1,709
N'Golo Kanté,34,France,Tr. libre,https://www.transfermarkt.fr/ngolo-kante/profil/spieler/225083,Milieu défensif,9,0,685
Joakim Maehle,28,Danemark,"12,50 mio. €",https://www.transfermarkt.fr/joakim-maehle/profil/spieler/369674,Arrière gauche,36,3,2392
Attila Szalai,28,Hongrie,"12,30 mio. €",https://www.transfermarkt.fr/attila-szalai/profil/spieler/263380,Défenseur central,52,3,4630
Timothy Weah,25,États-Unis,"11,00 mio. €",https://www.transfermarkt.fr/timothy-weah/profil/spieler/370846,Ailier droit,32,0,1941
Justin Kluivert,26,Pays-Bas,"10,80 mio. €",https://www.transfermarkt.fr/justin-kluivert/profil/spieler/330659,Milieu offensif,29,8,1676
Serhou Guirassy,29,Guinée,"9,00 mio. €",https://www.transfermarkt.fr/serhou-guirassy/profil/spieler/270541,Avant-centre,29,14,2049
Geoffrey Kondogbia,32,République Centrafricaine,"8,00 mio. €",https://www.transfermarkt.fr/geoffrey-kondogbia/profil/spieler/127189,Milieu défensif,27,0,1402
Stefan Posch,28,Autriche,"5,00 mio. €",https://www.transfermarkt.fr/stefan-posch/profil/spieler/223974,Défenseur central,33,6,2738
Maximilian Wöber,28,Autriche,Montant du prêt:500 K €,https://www.transfermarkt.fr/maximilian-wober/profil/spieler/263361,Défenseur central,40,2,3022
David Carmo,26,Angola,Montant du prêt:250 K €,https://www.transfermarkt.fr/david-carmo/profil/spieler/498237,Défenseur central,18,0,1414
Jonas Hofmann,33,Allemagne,"10,00 mio. €",https://www.transfermarkt.fr/jonas-hofmann/profil/spieler/7161,Milieu offensif,33,14,2814
Valentín Barco,21,Argentine,"9,15 mio. €",https://www.transfermarkt.fr/valentin-barco/profil/spieler/849410,Milieu central,34,1,2506
Fran Navarro,28,Espagne,"7,00 mio. €",https://www.transfermarkt.fr/fran-navarro/profil/spieler/284883,Avant-centre,43,21,3689
Paul Onuachu,31,Nigeria,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/paul-onuachu/profil/spieler/272855,Avant-centre,33,17,1861
Houssem Aouar,27,Algérie,Tr. libre,https://www.transfermarkt.fr/houssem-aouar/profil/spieler/395693,Milieu offensif,18,1,571
Ellyes Skhiri,30,Tunisie,Tr. libre,https://www.transfermarkt.fr/ellyes-skhiri/profil/spieler/290587,Milieu défensif,40,8,3548
Dodi Lukébakio,28,Belgique,"10,00 mio. €",https://www.transfermarkt.fr/dodi-lukebakio/profil/spieler/303259,Ailier droit,33,12,2522
Alexander Sørloth,30,Norvège,"10,00 mio. €",https://www.transfermarkt.fr/alexander-sorloth/profil/spieler/238407,Avant-centre,47,16,3156
Wilfried Singo,25,Côte d'Ivoire,"9,10 mio. €",https://www.transfermarkt.fr/wilfried-singo/profil/spieler/648779,Arrière droit,35,2,2383
Conor Coady,32,Angleterre,"8,70 mio. €",https://www.transfermarkt.fr/conor-coady/profil/spieler/128901,Défenseur central,25,2,2186
Borna Sosa,28,Croatie,"8,00 mio. €",https://www.transfermarkt.fr/borna-sosa/profil/spieler/293194,Arrière gauche,30,2,2360
Luka Ivanušec,27,Croatie,"7,80 mio. €",https://www.transfermarkt.fr/luka-ivanusec/profil/spieler/387105,Milieu offensif,48,13,3808
Dominik Livakovic,31,Croatie,"6,65 mio. €",https://www.transfermarkt.fr/dominik-livakovic/profil/spieler/205927,Gardien de but,50,0,4552
Leandro Paredes,31,Argentine,"5,65 mio. €",https://www.transfermarkt.fr/leandro-paredes/profil/spieler/166237,Milieu défensif,39,1,1608
