Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil,Position,Ligue,Fin_Contrat,Matchs_22_23,Buts_22_23,Minutes_22_23
Nadiem Amiri,29,Allemagne,"4,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/nadiem-amiri/profil/spieler/232454,Milieu central,Bundesliga,2028,36,4,1378
Juan Dinenno,31,Argentine,"4,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/juan-dinenno/profil/spieler/288786,Avant-centre,Liga DIMAYOR I,2026,37,14,2871
Rémi Oudin,29,France,"4,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/remi-oudin/profil/spieler/399543,Milieu offensif,Serie B,2026,31,3,1316
Marco Burch,25,Suisse,"4,00 mio. €",650 K €,https://www.transfermarkt.fr/marco-burch/profil/spieler/479268,Défenseur central,Super League,2028,27,3,2383
Pape Abou Cissé,30,Sénégal,"4,00 mio. €",600 K €,https://www.transfermarkt.fr/pape-abou-cisse/profil/spieler/364234,Défenseur central,Lengjudeild,0,19,1,1474
Bogdan Mykhaylichenko,28,Ukraine,"4,00 mio. €",170 K €,https://www.transfermarkt.fr/bogdan-mykhaylichenko/profil/spieler/294730,Arrière gauche,Premier Liga,2028,32,2,2370
Edin Dzeko,39,Bosnie-Herzégovine,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/edin-dzeko/profil/spieler/28396,Avant-centre,2. Bundesliga,2026,52,14,2893
Juan Cuadrado,37,Colombie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/juan-cuadrado/profil/spieler/91970,Milieu droit,Serie A,2026,47,2,3293
Alexis Sánchez,37,Chili,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/alexis-sanchez/profil/spieler/40433,Avant-centre,LaLiga,2026,44,18,3419
Joe Rothwell,31,Angleterre,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/joe-rothwell/profil/spieler/183293,Milieu central,Championship,2027,22,0,1136
Diego Palacios,26,Équateur,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/diego-palacios/profil/spieler/425567,Arrière gauche,LigaPro Serie A,2026,45,0,3806
Ondrej Lingr,27,Tchéquie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/ondrej-lingr/profil/spieler/321195,Milieu offensif,MLS,2028,42,16,2424
Pierre-Emerick Aubameyang,36,Gabon,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/pierre-emerick-aubameyang/profil/spieler/58864,Avant-centre,Ligue 1,2027,22,3,969
Koni De Winter,23,Belgique,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/koni-de-winter/profil/spieler/490384,Défenseur central,Serie A,2030,14,0,1024
Federico Bonazzoli,28,Italie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/federico-bonazzoli/profil/spieler/241527,Avant-centre,Serie A,2028,25,2,1147
Patrik Walemark,24,Suède,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/patrik-walemark/profil/spieler/721470,Ailier droit,Ekstraklasa,2029,21,2,772
Nat Phillips,28,Angleterre,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/nat-phillips/profil/spieler/371814,Défenseur central,Championship,2028,7,0,367
Ivan Perišić,37,Croatie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/ivan-perisic/profil/spieler/42460,Ailier gauche,Eredivisie,2027,44,1,2924
Joel Mvuka,23,Norvège,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/joel-mvuka/profil/spieler/700078,Milieu droit,Premiership,2026,31,4,2363
Daniel Iversen,28,Danemark,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/daniel-iversen/profil/spieler/260841,Gardien de but,Championship,2029,17,0,1530
Luke Cundle,23,Angleterre,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/luke-cundle/profil/spieler/532541,Milieu central,Championship,0,35,3,2004
Sead Haksabanovic,26,Monténégro,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/sead-haksabanovic/profil/spieler/349300,Ailier gauche,Allsvenskan,2028,40,5,1314
Paulo Otávio,31,Brésil,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/paulo-otavio/profil/spieler/221611,Arrière gauche,Stars League,2026,27,0,2224
Lewis Travis,28,Angleterre,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/lewis-travis/profil/spieler/372802,Milieu défensif,Championship,2029,49,2,4014
Troy Parrott,24,Irlande,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/troy-parrott/profil/spieler/552655,Avant-centre,Eredivisie,2029,34,4,2037
Jean-Kévin Duverne,28,Haïti,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/jean-kevin-duverne/profil/spieler/344864,Défenseur central,Jupiler Pro League,2026,36,0,2693
Gadi Kinda,29,Israël,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/gadi-kinda/profil/spieler/200560,Milieu offensif,Autre,0,29,5,1399
Cher Ndour,21,Italie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/cher-ndour/profil/spieler/651005,Milieu central,Serie A,2029,36,4,2671
Rony Lopes,30,Portugal,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/rony-lopes/profil/spieler/174694,Ailier droit,Liga Portugal,2028,32,7,2362
Samuel Umtiti,32,France,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/samuel-umtiti/profil/spieler/126540,Défenseur central,Autre,0,25,0,2117
Doğan Alemdar,23,Turquie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/dogan-alemdar/profil/spieler/576033,Gardien de but,Süper Lig,2029,10,0,714
Filip Krastev,24,Bulgarie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/filip-krastev/profil/spieler/486814,Milieu offensif,Süper Lig,2026,52,11,3726
Santiago Sosa,26,Argentine,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/santiago-sosa/profil/spieler/576026,Défenseur central,Torneo Apertura,2027,18,0,1010
Alerrandro,26,Brésil,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/alerrandro/profil/spieler/371996,Avant-centre,Série A,2026,33,8,1415
Santiago Colombatto,29,Argentine,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/santiago-colombatto/profil/spieler/395122,Milieu défensif,LaLiga,2026,43,5,3394
Roberto Gagliardini,31,Italie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/roberto-gagliardini/profil/spieler/197471,Milieu central,Serie A,2026,29,0,1038
Steven Alzate,27,Colombie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/steven-alzate/profil/spieler/476237,Milieu central,MLS,2030,31,4,2441
José Ángel Carmona,24,Espagne,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/jose-angel-carmona/profil/spieler/711625,Arrière droit,LaLiga,2028,24,3,1570
Nabil Alioui,26,Maroc,"4,00 mio. €",?,https://www.transfermarkt.fr/nabil-alioui/profil/spieler/344607,Milieu offensif,Saudi Pro League,2028,29,6,1844
Emirhan İlkhan,21,Turquie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/emirhan-ilkhan/profil/spieler/743091,Milieu central,Serie A,2026,12,0,192
Matías Soulé,22,Argentine,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/matias-soule/profil/spieler/668951,Ailier droit,Serie A,2029,25,1,1031
Ivan Rakitic,37,Croatie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/ivan-rakitic/profil/spieler/32467,Milieu central,Autre,0,51,2,3521
Yairo Moreno,30,Colombie,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/yairo-moreno/profil/spieler/331756,Milieu gauche,Liga DIMAYOR I,0,46,3,2599
Moussa Marega,34,Mali,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/moussa-marega/profil/spieler/283130,Avant-centre,First Division League,2026,28,6,2038
Haris Seferovic,33,Suisse,"4,00 mio. €",?,https://www.transfermarkt.fr/haris-seferovic/profil/spieler/109256,Avant-centre,Autre,0,31,5,1510
François Kamano,29,Guinée,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/francois-kamano/profil/spieler/333802,Ailier gauche,Premier Liga,2026,37,6,2417
Matías Segovia,23,Paraguay,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/matias-segovia/profil/spieler/718307,Ailier droit,Série B,2026,32,0,1329
Luis Suárez,39,Uruguay,Inconnu,"4,00 mio. €",https://www.transfermarkt.fr/luis-suarez/profil/spieler/44352,Avant-centre,MLS,2026,53,26,4644
David Møller Wolfe,23,Norvège,"2,50 mio. €","3,90 mio. €",https://www.transfermarkt.fr/david-moller-wolfe/profil/spieler/661427,Arrière gauche,Premier League,2030,14,0,1118
Woo-yeong Jeong,26,Corée du Sud,"3,50 mio. €","3,80 mio. €",https://www.transfermarkt.fr/woo-yeong-jeong/profil/spieler/297583,Milieu offensif,Bundesliga,0,34,2,1039
Leonardo Godoy,30,Argentine,"3,80 mio. €","3,64 mio. €",https://www.transfermarkt.fr/leonardo-godoy/profil/spieler/369556,Arrière droit,Torneo Apertura,2028,47,4,3884
Tonny Vilhena,31,Pays-Bas,"3,80 mio. €","3,00 mio. €",https://www.transfermarkt.fr/tonny-vilhena/profil/spieler/182581,Milieu central,Super League 1,2027,33,4,2274
Alessio Castro-Montes,28,Belgique,"3,80 mio. €","2,00 mio. €",https://www.transfermarkt.fr/alessio-castro-montes/profil/spieler/340166,Milieu droit,Bundesliga,2028,46,1,3304
Facundo Cambeses,28,Argentine,"3,80 mio. €","1,83 mio. €",https://www.transfermarkt.fr/facundo-cambeses/profil/spieler/435001,Gardien de but,Torneo Apertura,2026,44,0,3960
Mateo Coronel,27,Argentine,"3,80 mio. €","1,66 mio. €",https://www.transfermarkt.fr/mateo-coronel/profil/spieler/685179,Avant-centre,Liga MX Apertura,2026,41,10,2945
Georgios Kyriakopoulos,30,Grèce,Inconnu,"3,80 mio. €",https://www.transfermarkt.fr/georgios-kyriakopoulos/profil/spieler/311178,Arrière gauche,Super League 1,2029,25,1,1574
Lucas Chaves,30,Argentine,Inconnu,"3,80 mio. €",https://www.transfermarkt.fr/lucas-chaves/profil/spieler/360791,Gardien de but,Super League 1,2026,54,0,4860
Enner Valencia,36,Équateur,Inconnu,"3,80 mio. €",https://www.transfermarkt.fr/enner-valencia/profil/spieler/139503,Avant-centre,Liga MX Apertura,2027,76,46,5202
Andrej Ilic,25,Serbie,"2,30 mio. €","3,75 mio. €",https://www.transfermarkt.fr/andrej-ilic/profil/spieler/583699,Avant-centre,Bundesliga,2027,54,30,4433
Ken Nkuba,24,Belgique,"3,50 mio. €","3,75 mio. €",https://www.transfermarkt.fr/ken-nkuba/profil/spieler/627939,Arrière droit,Jupiler Pro League,2028,29,4,2218
Breno Lemos,22,Brésil,600 K €,"3,75 mio. €",https://www.transfermarkt.fr/breno-lemos/profil/spieler/1085060,Milieu central,UAE Pro League,0,50,6,3203
Guillermo Martínez,30,Mexique,"3,00 mio. €","3,72 mio. €",https://www.transfermarkt.fr/guillermo-martinez/profil/spieler/347932,Avant-centre,Liga MX Apertura,2026,27,11,1086
Kaan Ayhan,31,Turquie,"3,70 mio. €","2,80 mio. €",https://www.transfermarkt.fr/kaan-ayhan/profil/spieler/119031,Milieu défensif,Süper Lig,2028,17,2,832
Andrei Burcă,32,Roumanie,"3,70 mio. €","1,00 mio. €",https://www.transfermarkt.fr/andrei-burca/profil/spieler/289308,Défenseur central,Super League,2026,44,0,3800
Marc Bartra,35,Espagne,Inconnu,"3,70 mio. €",https://www.transfermarkt.fr/marc-bartra/profil/spieler/99922,Défenseur central,LaLiga,2027,40,4,3136
Ignacio Ramírez,29,Uruguay,"1,80 mio. €","3,65 mio. €",https://www.transfermarkt.fr/ignacio-ramirez/profil/spieler/402079,Avant-centre,Torneo Apertura,2027,43,21,2682
Keigo Tsunemoto,27,Japon,600 K €,"3,60 mio. €",https://www.transfermarkt.fr/keigo-tsunemoto/profil/spieler/353886,Arrière droit,Super League,2028,20,0,1273
Newerton,20,Brésil,-,"3,60 mio. €",https://www.transfermarkt.fr/newerton/profil/spieler/1082823,Ailier gauche,Premier Liga,2028,7,1,489
Alessio Cragno,31,Italie,"3,00 mio. €","3,60 mio. €",https://www.transfermarkt.fr/alessio-cragno/profil/spieler/12907,Gardien de but,Serie B,2026,4,0,360
Braian Ojeda,25,Paraguay,"1,50 mio. €","3,60 mio. €",https://www.transfermarkt.fr/braian-ojeda/profil/spieler/491596,Milieu défensif,MLS,2029,42,0,3125
Mads Hermansen,25,Danemark,"3,50 mio. €","9,04 mio. €",https://www.transfermarkt.fr/mads-hermansen/profil/spieler/400536,Gardien de but,Premier League,2030,31,0,2820
Matija Frigan,22,Croatie,"3,50 mio. €","5,95 mio. €",https://www.transfermarkt.fr/matija-frigan/profil/spieler/840149,Avant-centre,Serie A,2030,31,15,2397
Louis Patris,24,Belgique,"3,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/louis-patris/profil/spieler/502247,Arrière droit,Jupiler Pro League,2029,35,2,2949
Tsuyoshi Watanabe,29,Japon,"2,80 mio. €","3,50 mio. €",https://www.transfermarkt.fr/tsuyoshi-watanabe/profil/spieler/598791,Défenseur central,Eredivisie,2029,36,1,3240
Josep Martínez,27,Espagne,"3,50 mio. €","3,50 mio. €",https://www.transfermarkt.fr/josep-martinez/profil/spieler/388516,Gardien de but,Serie A,2029,32,0,2880
Eguinaldo,21,Brésil,900 K €,"3,50 mio. €",https://www.transfermarkt.fr/eguinaldo/profil/spieler/1033963,Ailier gauche,Premier Liga,2028,12,0,266
Mads Andersen,28,Danemark,"2,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/mads-andersen/profil/spieler/407021,Défenseur central,League One,0,51,2,4512
Abdoulaye Ndiaye,23,Sénégal,"1,50 mio. €","3,50 mio. €",https://www.transfermarkt.fr/abdoulaye-ndiaye/profil/spieler/673514,Défenseur central,Serie A,2029,29,1,2440
Jonah Kusi-Asare,18,Suède,300 K €,"3,50 mio. €",https://www.transfermarkt.fr/jonah-kusi-asare/profil/spieler/1069512,Avant-centre,Premier League,2026,4,0,62
Ezequiel Ponce,28,Argentine,"2,50 mio. €","3,50 mio. €",https://www.transfermarkt.fr/ezequiel-ponce/profil/spieler/296783,Avant-centre,MLS,2027,37,6,1294
Maximiliano Caufriez,28,Belgique,"2,50 mio. €","3,50 mio. €",https://www.transfermarkt.fr/maximiliano-caufriez/profil/spieler/369267,Défenseur central,Ligue 2,2026,28,1,2321
Portu,33,Espagne,"3,50 mio. €","3,50 mio. €",https://www.transfermarkt.fr/portu/profil/spieler/99353,Ailier droit,LaLiga,2027,37,0,2003
Kwadwo Duah,28,Suisse,"1,30 mio. €","3,50 mio. €",https://www.transfermarkt.fr/kwadwo-duah/profil/spieler/254955,Avant-centre,efbet Liga,2028,37,11,2738
Xande Silva,28,Portugal,700 K €,"3,50 mio. €",https://www.transfermarkt.fr/xande-silva/profil/spieler/258011,Ailier gauche,Ligat ha'Al,2027,45,10,2907
Szymon Żurkowski,28,Pologne,"3,50 mio. €","3,38 mio. €",https://www.transfermarkt.fr/szymon-zurkowski/profil/spieler/387234,Milieu central,Serie B,2027,15,0,567
Martín Payero,27,Argentine,"3,50 mio. €","3,00 mio. €",https://www.transfermarkt.fr/martin-payero/profil/spieler/555820,Milieu central,Serie A,2026,15,4,752
Saïdou Sow,23,Guinée,"3,50 mio. €","3,00 mio. €",https://www.transfermarkt.fr/saidou-sow/profil/spieler/807128,Défenseur central,Ligue 2,2026,32,0,2446
Paul Akouokou,28,Côte d'Ivoire,"3,50 mio. €","3,00 mio. €",https://www.transfermarkt.fr/paul-akouokou/profil/spieler/429901,Milieu défensif,LaLiga2,2026,18,0,806
Djordje Jovanovic,26,Serbie,"3,50 mio. €","2,80 mio. €",https://www.transfermarkt.fr/djordje-jovanovic/profil/spieler/376460,Avant-centre,Ligat ha'Al,2026,43,22,3440
Andi Zeqiri,26,Suisse,"3,50 mio. €","2,75 mio. €",https://www.transfermarkt.fr/andi-zeqiri/profil/spieler/345468,Avant-centre,Ekstraklasa,2029,50,18,2873
Djordje Mihailovic,27,États-Unis,"3,50 mio. €","2,73 mio. €",https://www.transfermarkt.fr/djordje-mihailovic/profil/spieler/484756,Milieu offensif,MLS,2028,20,1,576
David Brekalo,27,Slovénie,"3,50 mio. €","2,60 mio. €",https://www.transfermarkt.fr/david-brekalo/profil/spieler/371864,Défenseur central,MLS,2027,31,3,2663
Tim Breithaupt,24,Allemagne,"3,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/tim-breithaupt/profil/spieler/569457,Milieu défensif,2. Bundesliga,2026,24,2,1999
Ivo Grbic,30,Croatie,"3,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/ivo-grbic/profil/spieler/226073,Gardien de but,Süper Lig,2026,13,0,1011
Filippo Bandinelli,30,Italie,"3,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/filippo-bandinelli/profil/spieler/240934,Milieu central,Serie B,2027,36,2,2336
Mario González,29,Espagne,"3,50 mio. €","2,34 mio. €",https://www.transfermarkt.fr/mario-gonzalez/profil/spieler/255995,Avant-centre,LaLiga2,2026,36,16,2342
Luis Muriel,34,Colombie,"3,50 mio. €","2,10 mio. €",https://www.transfermarkt.fr/luis-muriel/profil/spieler/119228,Avant-centre,Liga DIMAYOR I,2027,31,3,1121
Kanu,28,Brésil,"3,50 mio. €","2,00 mio. €",https://www.transfermarkt.fr/kanu/profil/spieler/524446,Défenseur central,Série A,2027,50,1,4265
Lee Buchanan,24,Angleterre,"3,50 mio. €","1,50 mio. €",https://www.transfermarkt.fr/lee-buchanan/profil/spieler/532539,Arrière gauche,Championship,2028,23,1,609
Sergio Rochet,32,Uruguay,"3,50 mio. €","1,45 mio. €",https://www.transfermarkt.fr/sergio-rochet/profil/spieler/264014,Gardien de but,Série A,2026,49,0,4410
Gabriel Pirani,23,Brésil,"3,50 mio. €","1,20 mio. €",https://www.transfermarkt.fr/gabriel-pirani/profil/spieler/813107,Milieu offensif,MLS,2026,36,3,1648
Tom Holmes,25,Angleterre,"3,50 mio. €","1,15 mio. €",https://www.transfermarkt.fr/tom-holmes/profil/spieler/424900,Défenseur central,League One,0,42,0,3550
Cristian Cásseres Jr.,26,Venezuela,"3,50 mio. €","1,00 mio. €",https://www.transfermarkt.fr/cristian-casseres-jr-/profil/spieler/467632,Milieu central,Ligue 1,2027,19,1,1650
Francisco Moura,26,Portugal,"3,50 mio. €","1,00 mio. €",https://www.transfermarkt.fr/francisco-moura/profil/spieler/478365,Arrière gauche,Liga Portugal,2029,37,2,2898
Marcel Halstenberg,34,Allemagne,"3,50 mio. €",700 K €,https://www.transfermarkt.fr/marcel-halstenberg/profil/spieler/70243,Défenseur central,Autre,2026,40,2,2053
Zymer Bytyqi,29,Kosovo,"3,50 mio. €",500 K €,https://www.transfermarkt.fr/zymer-bytyqi/profil/spieler/213555,Ailier gauche,Autre,0,26,1,1866
Slobodan Urosevic,31,Serbie,"3,50 mio. €",200 K €,https://www.transfermarkt.fr/slobodan-urosevic/profil/spieler/258139,Arrière gauche,Super liga Srbije,0,47,6,4165
Dawid Kownacki,28,Pologne,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/dawid-kownacki/profil/spieler/208167,Avant-centre,2. Bundesliga,2026,35,16,2796
Kevin Mbabu,30,Suisse,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/kevin-mbabu/profil/spieler/183321,Arrière droit,Superliga,2026,24,0,1722
Cody Drameh,24,Angleterre,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/cody-drameh/profil/spieler/531957,Arrière droit,Championship,2027,32,1,2648
Yasser Larouci,25,Algérie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/yasser-larouci/profil/spieler/554251,Arrière gauche,Super League 1,2026,31,1,1877
Alfonso Espino,34,Uruguay,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/alfonso-espino/profil/spieler/311044,Arrière gauche,LaLiga,2026,36,0,3123
Toma Bašić,29,Croatie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/toma-basic/profil/spieler/334835,Milieu central,Serie A,2026,32,1,895
Marco Pellegrino,23,Argentine,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/marco-pellegrino/profil/spieler/776303,Défenseur central,Torneo Apertura,2029,17,1,1526
Jovane Cabral,27,Cap-Vert,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/jovane-cabral/profil/spieler/448466,Ailier gauche,Liga Portugal,2026,10,0,185
Ronaël Pierre-Gabriel,27,France,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ronael-pierre-gabriel/profil/spieler/410185,Arrière droit,SuperSport HNL,2026,23,1,950
Munir El Haddadi,30,Maroc,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/munir-el-haddadi/profil/spieler/223725,Milieu offensif,Persian Gulf League,2027,31,7,1356
Julián Araujo,24,Mexique,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/julian-araujo/profil/spieler/513970,Arrière droit,Premiership,2026,0,0,0
Ki-Jana Hoever,24,Pays-Bas,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ki-jana-hoever/profil/spieler/485583,Arrière droit,Championship,2026,27,4,1662
Ilyes Housni,20,Maroc,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ilyes-housni/profil/spieler/825437,Avant-centre,Autre,2026,31,32,2307
Ayoub El Kaabi,32,Maroc,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ayoub-el-kaabi/profil/spieler/521127,Avant-centre,Super League 1,2026,34,14,2599
Ola Aina,29,Nigeria,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ola-aina/profil/spieler/236490,Arrière droit,Premier League,2028,21,1,988
Fodé Ballo-Touré,29,Sénégal,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/fode-ballo-toure/profil/spieler/296422,Arrière gauche,Ligue 1,2026,14,1,650
Kelvin Yeboah,25,Italie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/kelvin-yeboah/profil/spieler/589737,Avant-centre,MLS,2027,26,2,635
Ionuț Radu,28,Roumanie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ionut-radu/profil/spieler/303657,Gardien de but,LaLiga,2029,27,0,2430
Nicolas Cozza,27,France,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/nicolas-cozza/profil/spieler/485965,Arrière gauche,Ligue 1,2026,24,2,1460
Eray Cömert,28,Suisse,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/eray-comert/profil/spieler/298583,Défenseur central,LaLiga,2026,25,1,1885
Roberto Piccoli,25,Italie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/roberto-piccoli/profil/spieler/432092,Avant-centre,Serie A,2030,21,2,746
Sebastiano Esposito,23,Italie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/sebastiano-esposito/profil/spieler/538918,Deuxième attaquant,Serie A,2026,36,6,1647
Yerson Mosquera,24,Colombie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/yerson-mosquera/profil/spieler/716276,Défenseur central,Premier League,2030,39,3,3382
Soualiho Meïté,31,France,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/soualiho-meite/profil/spieler/164913,Milieu défensif,Super League 1,2026,35,0,2760
Marco Di Césare,24,Argentine,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/marco-di-cesare/profil/spieler/839029,Défenseur central,Torneo Apertura,2027,33,0,2586
Bissoli,28,Brésil,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/bissoli/profil/spieler/553458,Avant-centre,Thai League,2028,17,3,886
Luan,26,Brésil,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/luan/profil/spieler/574904,Milieu défensif,Série A,2026,28,2,1144
Rodolfo Pizarro,31,Mexique,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/rodolfo-pizarro/profil/spieler/234918,Milieu offensif,Liga MX Apertura,0,34,0,1960
Alessio Zerbin,26,Italie,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/alessio-zerbin/profil/spieler/433584,Milieu droit,Serie A,2026,14,0,311
Isaac Hayden,30,Jamaïque,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/isaac-hayden/profil/spieler/206225,Milieu défensif,Championship,2026,14,0,816
Achraf Bencharki,31,Maroc,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/achraf-bencharki/profil/spieler/361925,Ailier gauche,Premier League,2027,33,9,2549
Alan Virginius,23,France,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/alan-virginius/profil/spieler/654415,Milieu gauche,Super League,2029,23,4,655
Igor Lichnovsky,31,Chili,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/igor-lichnovsky/profil/spieler/209513,Défenseur central,Süper Lig,2027,41,0,3240
Arbër Zeneli,30,Kosovo,"3,50 mio. €",?,https://www.transfermarkt.fr/arber-zeneli/profil/spieler/222876,Ailier gauche,Allsvenskan,2027,26,1,1174
Lyanco,29,Brésil,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/lyanco/profil/spieler/379807,Défenseur central,Série A,2029,30,1,1970
Ousseynou Ba,30,Sénégal,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/ousseynou-ba/profil/spieler/520815,Défenseur central,Süper Lig,2027,25,0,1954
Brian Lozano,31,Uruguay,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/brian-lozano/profil/spieler/338889,Ailier gauche,Liga AUF Apertura,2026,25,8,1732
Nicolás Giménez,30,Émirats Arabes Unis,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/nicolas-gimenez/profil/spieler/364946,Milieu offensif,UAE Pro League,2029,31,9,2685
Gerard Gumbau,31,Espagne,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/gerard-gumbau/profil/spieler/268670,Milieu défensif,LaLiga,2026,38,1,2993
Léo,28,Brésil,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/leotm/profil/spieler/546292,Avant-centre,Super League,2027,30,21,2365
Jairo Torres,25,Mexique,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/jairo-torres/profil/spieler/371185,Ailier droit,Liga MX Apertura,0,27,0,971
Marcão,31,Brésil,Inconnu,"3,50 mio. €",https://www.transfermarkt.fr/marcao/profil/spieler/476102,Avant-centre,K League 1,0,18,4,661
Florin Tănase,31,Roumanie,"3,50 mio. €",?,https://www.transfermarkt.fr/florin-tanase/profil/spieler/314329,Milieu offensif,SuperLiga,2026,27,7,1741
Gustaf Lagerbielke,25,Suède,"1,20 mio. €","3,40 mio. €",https://www.transfermarkt.fr/gustaf-lagerbielke/profil/spieler/485395,Défenseur central,Liga Portugal,2030,16,2,1287
Ondrej Duda,31,Slovaquie,"3,40 mio. €","3,10 mio. €",https://www.transfermarkt.fr/ondrej-duda/profil/spieler/232418,Milieu central,Saudi Pro League,2027,33,2,2053
Derrick Köhn,27,Ghana,"3,00 mio. €","3,35 mio. €",https://www.transfermarkt.fr/derrick-kohn/profil/spieler/391780,Arrière gauche,Bundesliga,2029,35,5,3065
Salvatore Esposito,25,Italie,"3,30 mio. €","3,58 mio. €",https://www.transfermarkt.fr/salvatore-esposito/profil/spieler/390160,Milieu défensif,Serie B,2026,36,3,2802
Angelo Preciado,27,Équateur,"3,30 mio. €","2,50 mio. €",https://www.transfermarkt.fr/angelo-preciado/profil/spieler/450241,Arrière droit,Série A,2029,27,0,1200
Ahmed Touba,27,Algérie,Inconnu,"3,30 mio. €",https://www.transfermarkt.fr/ahmed-touba/profil/spieler/325924,Défenseur central,Super League 1,2028,39,1,2981
