Nom,Age,Position_Encoded,Valeur_Marchande,Matchs_22_23,Buts_22_23,Minutes_22_23,Prix
Matz Sels,33,1.0,7000000.0,39,0,3540,6500000.0
Josh Doig,23,2.0,7000000.0,22,2,1354,6500000.0
Aníbal Moreno,26,3.0,7000000.0,36,3,3102,6450000.0
Jesús Medina,28,4.0,7000000.0,33,11,2523,6000000.0
Tom Krauß,24,3.0,7000000.0,33,2,2618,5000000.0
Kasper Dolberg,28,4.0,7000000.0,22,2,720,5000000.0
Andy Delort,34,4.0,7000000.0,35,9,1804,5000000.0
Nabil Bentaleb,31,3.0,7000000.0,33,4,2793,4500000.0
Milan van Ewijk,25,2.0,7000000.0,40,6,3630,4300000.0
Thorgan Hazard,32,3.0,7000000.0,34,3,1131,4000000.0
Ruben Aguilar,32,2.0,7000000.0,23,0,1389,3500000.0
Lucas Zelarayán,33,3.0,7000000.0,21,11,1780,2750000.0
Gonzalo Martínez,32,3.0,7000000.0,17,1,586,520000.0
Serge Aurier,33,2.0,7000000.0,28,1,2216,100000.0
Petar Ratkov,22,4.0,4000000.0,40,14,2558,6950000.0
Ilia Gruev,25,3.0,3000000.0,32,0,1706,6500000.0
Tiago Santos,23,2.0,3500000.0,35,0,2747,6500000.0
Orbelín Pineda,29,3.0,5000000.0,42,10,2839,6500000.0
Dion Lopy,24,3.0,4000000.0,31,0,1508,6500000.0
Daniel Boloca,27,3.0,3500000.0,32,2,2693,6500000.0
Pedro de la Vega,25,4.0,6500000.0,40,6,3219,6400000.0
Danilo,26,4.0,6500000.0,48,14,2060,6300000.0
Carl Starfelt,30,2.0,6500000.0,37,3,3103,5000000.0
Santiago Ascacíbar,28,3.0,6500000.0,65,5,5000,2500000.0
Uros Racic,27,3.0,6500000.0,38,4,1763,2500000.0
Raúl Jiménez,34,4.0,6000000.0,20,3,1170,6400000.0
Federico Pereira,25,2.0,1500000.0,33,3,2884,6330000.0
Tomás Avilés,22,2.0,1000000.0,32,1,2193,6300000.0
Pablo Marí,32,2.0,5000000.0,31,1,2579,6200000.0
Marco Brescianini,26,3.0,900000.0,39,3,2700,6200000.0
Fabricio Díaz,23,3.0,6000000.0,16,0,892,6100000.0
André Amaro,23,2.0,6000000.0,32,1,2794,7750000.0
Bruma,31,4.0,6000000.0,26,4,1480,6550000.0
Samu Aghehowa,21,4.0,200000.0,33,18,2063,6000000.0
Johnny Cardoso,24,3.0,6000000.0,49,2,3349,6000000.0
Jean Lucas,27,3.0,5000000.0,32,0,2186,6000000.0
Oleg Reabciuk,28,2.0,4000000.0,45,1,3782,6000000.0
Mads Bidstrup,24,3.0,2500000.0,34,0,2907,6000000.0
Maduka Okoye,26,1.0,2000000.0,2,0,180,6000000.0
Enso González,21,4.0,1900000.0,30,3,1800,6000000.0
Sivert Mannsverk,23,3.0,5000000.0,30,6,2606,6000000.0
George Ilenikhena,19,4.0,1000000.0,34,18,1501,6000000.0
Michal Skoras,25,4.0,6000000.0,53,16,4030,6000000.0
Sergio Arribas,24,3.0,5000000.0,41,22,3266,6000000.0
Diego Lainez,25,4.0,2500000.0,41,2,1777,6000000.0
Jhon Solís,21,3.0,700000.0,32,0,2118,6000000.0
Félix Torres,29,2.0,6000000.0,36,3,2769,5950000.0
Mostafa Mohamed,28,4.0,6000000.0,51,11,2953,5750000.0
Érick Gutiérrez,30,3.0,6000000.0,46,5,2459,5500000.0
Giovanni Fabbian,23,3.0,6000000.0,38,8,2992,5370000.0
Adson,25,4.0,6000000.0,41,5,2479,5000000.0
Bakhtiyor Zaynutdinov,27,2.0,6000000.0,27,1,2111,4500000.0
Pedro Raul,29,4.0,6000000.0,29,11,2278,4500000.0
Gerardo Arteaga,27,2.0,6000000.0,40,2,3527,4500000.0
Jean Onana,26,3.0,6000000.0,26,0,1027,4040000.0
Matheuzinho,25,2.0,6000000.0,25,0,1444,4000000.0
Kerem Demirbay,32,3.0,6000000.0,36,5,2118,3700000.0
Yeferson Soteldo,28,4.0,6000000.0,35,1,2354,3650000.0
Nathan Silva,28,2.0,6000000.0,21,1,1748,3650000.0
Alexis Flips,26,3.0,6000000.0,35,6,2124,3500000.0
Rodrigo,34,4.0,6000000.0,35,15,2067,3500000.0
David Terans,31,3.0,6000000.0,32,5,2027,3350000.0
Bartosz Slisz,26,3.0,6000000.0,38,0,3306,3200000.0
Emil Forsberg,34,4.0,6000000.0,43,9,2204,3000000.0
Iuri Medeiros,31,4.0,6000000.0,43,10,2809,3000000.0
Mathias Normann,29,3.0,6000000.0,17,0,1004,3000000.0
Jacob Brown,27,4.0,6000000.0,42,9,3070,2900000.0
Adrien Tamèze,32,3.0,6000000.0,39,0,3200,2800000.0
Willian Arão,33,3.0,6000000.0,45,1,3295,2500000.0
Arthur Masuaku,32,2.0,6000000.0,32,2,2669,2000000.0
Matteo Prati,22,3.0,1000000.0,20,2,1479,5900000.0
Glen Kamara,30,3.0,5500000.0,35,1,1661,5800000.0
Jaden Philogene,23,4.0,2800000.0,39,5,2388,5800000.0
Sam Surridge,27,4.0,5000000.0,42,8,1663,5800000.0
Cristian Arango,30,4.0,5000000.0,31,13,1856,5580000.0
Angelo Stiller,24,3.0,5000000.0,23,1,852,5500000.0
Rogério,28,2.0,5500000.0,37,0,3043,5500000.0
In-beom Hwang,29,3.0,4500000.0,40,5,3188,5500000.0
Hernán López Muñoz,25,3.0,5500000.0,38,5,2968,5500000.0
Emmanuel Latte Lath,27,4.0,1500000.0,34,16,2011,5500000.0
Cédric Zesiger,27,2.0,5500000.0,41,2,3566,5000000.0
Víctor Dávila,28,4.0,5500000.0,40,13,2766,5000000.0
Fashion Sakala,28,4.0,5500000.0,41,12,2593,4650000.0
Bruno Zapelli,23,3.0,5500000.0,45,3,2982,4050000.0
Henry Onyekuru,28,4.0,5500000.0,30,8,2123,3500000.0
Marcus Ingvartsen,30,4.0,5500000.0,31,12,1418,2950000.0
Jeff Chabot,27,2.0,5500000.0,23,0,1946,2500000.0
Nicolae Stanciu,32,3.0,5500000.0,26,1,2274,2500000.0
Alexis Vega,28,4.0,5500000.0,34,6,2666,1380000.0
Bertuğ Yıldırım,23,4.0,2700000.0,30,6,1126,5400000.0
Aleksa Terzic,26,2.0,2000000.0,32,1,1608,5400000.0
Mateusz Wieteska,28,2.0,3000000.0,37,0,3271,5300000.0
Darío Osorio,22,4.0,3500000.0,18,3,1087,5200000.0
Carles Pérez,27,4.0,5000000.0,38,5,2409,5200000.0
Christopher Bonsu Baah,21,4.0,1200000.0,15,1,1133,5200000.0
Nicolas Kühn,26,4.0,1500000.0,29,4,1816,5100000.0
Matteo Cancellieri,23,4.0,5000000.0,30,0,602,8500000.0
João Victor,27,2.0,5000000.0,19,0,1228,8000000.0
Yann Sommer,37,1.0,5000000.0,36,0,3163,6900000.0
Matej Kovar,25,1.0,1800000.0,32,0,2910,5000000.0
Daniel Peretz,25,1.0,4000000.0,45,0,4080,5000000.0
Cyriel Dessers,31,4.0,5000000.0,32,10,1951,5000000.0
Magnus Mattsson,26,3.0,3000000.0,26,4,1907,5000000.0
Srdjan Babic,29,2.0,3500000.0,34,3,2999,5000000.0
Maik Nawrocki,25,2.0,4000000.0,31,4,2508,5000000.0
Clinton Mata,33,2.0,4500000.0,30,1,2202,5000000.0
Cenk Özkacar,25,2.0,5000000.0,21,0,1708,5000000.0
Pepelu,27,3.0,3000000.0,47,1,3897,5000000.0
Mohamed Bamba,24,4.0,1200000.0,37,20,3114,5000000.0
Kaku,31,3.0,5000000.0,27,8,2011,5000000.0
Kevin Mier,25,1.0,3500000.0,49,0,4306,5000000.0
Jack Hendry,30,2.0,3000000.0,17,0,1138,5000000.0
Yangel Herrera,28,3.0,5000000.0,20,2,964,5000000.0
Facundo Farías,23,3.0,5000000.0,21,3,1441,5000000.0
Milos Lukovic,20,4.0,5000000.0,43,17,3367,4700000.0
Omar Campos,23,2.0,5000000.0,41,1,3568,4600000.0
Caio Alexandre,26,3.0,5000000.0,65,5,5246,4500000.0
Thiago Mendes,33,3.0,5000000.0,34,1,2283,4210000.0
Ferreirinha,28,4.0,5000000.0,39,7,1830,4099999.9999999995
Jessic Ngankam,25,4.0,5000000.0,19,4,913,4000000.0
Wladimiro Falcone,30,1.0,5000000.0,39,0,3540,4000000.0
Antonio Blanco,25,3.0,5000000.0,23,0,1689,4000000.0
Michael Obafemi,25,4.0,5000000.0,33,5,1410,4000000.0
Enzo Copetti,30,4.0,5000000.0,29,7,2209,3950000.0
Tomás Belmonte,27,3.0,5000000.0,22,2,1911,3650000.0
Gerzino Nyamsi,29,2.0,5000000.0,21,1,1669,3500000.0
Gastón Álvarez,25,2.0,5000000.0,25,2,1650,3500000.0
Oriol Romeu,34,3.0,5000000.0,36,2,3207,3400000.0
Valentino Lazaro,29,3.0,5000000.0,25,0,1401,3400000.0
Marco Richter,28,3.0,5000000.0,29,6,1844,3000000.0
Samú Costa,25,3.0,5000000.0,33,1,2051,3000000.0
Álvaro Odriozola,30,2.0,5000000.0,6,0,93,3000000.0
Fredrik Midtsjø,32,3.0,5000000.0,27,1,921,3000000.0
Vítor Tormena,30,2.0,5000000.0,40,1,3367,3000000.0
Miguel Merentiel,29,4.0,5000000.0,50,18,2785,2810000.0
Romain Saïss,35,2.0,5000000.0,26,1,2042,2500000.0
Mislav Orsic,33,4.0,5000000.0,33,13,2081,2400000.0
Moisés,30,2.0,5000000.0,36,1,2999,2300000.0
Antonio Colak,32,4.0,5000000.0,39,18,2233,2270000.0
Vítor Carvalho,28,3.0,5000000.0,41,5,3402,2100000.0
Mats Rits,32,3.0,5000000.0,21,2,1243,2000000.0
Arbnor Muja,27,4.0,5000000.0,37,6,2465,2000000.0
Birger Meling,31,2.0,5000000.0,35,0,1689,2000000.0
Cristian Ramírez,31,2.0,5000000.0,39,2,3228,2000000.0
Víctor Gómez,25,2.0,5000000.0,39,0,2934,2000000.0
Wesley,26,4.0,5000000.0,42,4,2637,2000000.0
Darian Males,24,3.0,5000000.0,47,11,2629,1900000.0
Matías Cóccaro,28,4.0,5000000.0,52,12,3423,1750000.0
Jobe Bellingham,20,3.0,5000000.0,23,0,663,1750000.0
Ricardo Gomes,34,4.0,5000000.0,48,28,4057,1500000.0
Gustavo Cuéllar,33,3.0,5000000.0,30,0,2663,1380000.0
Timothée Pembélé,23,2.0,5000000.0,6,0,324,1000000.0
Cédric Bakambu,34,4.0,5000000.0,40,18,2469,700000.0
Fousseni Diabaté,30,4.0,5000000.0,45,7,3484,600000.0
Chiquinho,30,3.0,5000000.0,44,2,2359,500000.0
Diego Fagúndez,30,4.0,5000000.0,35,4,1916,273000.0
Mauricio Isaís,24,2.0,4000000.0,44,3,3455,4950000.0
Yorbe Vertessen,25,4.0,4000000.0,32,6,1079,4750000.0
Luis Palma,26,4.0,2500000.0,36,13,2107,4750000.0
Chimy Ávila,32,4.0,3500000.0,36,9,2069,4700000.0
Tahith Chong,26,3.0,3200000.0,41,4,3028,4700000.0
Bruno Rodrigues,28,4.0,3500000.0,49,13,4017,4650000.0
Renato Veiga,22,2.0,1000000.0,33,3,2365,4600000.0
Bénie Traoré,23,4.0,3500000.0,20,15,1628,4600000.0
Juan Sforza,23,3.0,4500000.0,43,3,3606,4600000.0
Liam Kitching,26,2.0,1000000.0,53,4,4730,4600000.0
Javairô Dilrosun,27,4.0,4000000.0,43,6,2515,4600000.0
Leo Suárez,29,4.0,3000000.0,40,10,2062,4600000.0
Julián Fernández,22,4.0,4500000.0,30,5,974,4570000.0
Moisés,29,4.0,1300000.0,22,6,1147,4540000.0
Riccardo Calafiori,23,2.0,4500000.0,34,1,2691,24500000.0
Douglas Augusto,29,3.0,4500000.0,36,5,2903,6800000.0
Wouter Burger,24,3.0,4500000.0,50,6,3533,5800000.0
Samuele Mulattieri,25,4.0,4500000.0,30,12,1506,5300000.0
Youssef Maleh,27,3.0,4500000.0,29,0,1218,5000000.0
Filippo Terracciano,22,2.0,3500000.0,20,0,816,4500000.0
Luis Vázquez,24,4.0,2000000.0,20,3,592,4500000.0
Aron Dønnum,27,3.0,3000000.0,41,3,3119,4500000.0
Anton Gaaei,23,2.0,2000000.0,37,1,3080,4500000.0
Francisco Ortega,26,2.0,3800000.0,27,1,2354,4500000.0
Óscar Cortés,22,4.0,4200000.0,19,6,1352,4500000.0
Tadeo Allende,26,4.0,4500000.0,38,10,2807,4500000.0
Akor Adams,26,4.0,4000000.0,18,17,1538,4500000.0
Yunus Konak,20,3.0,1800000.0,0,0,0,4500000.0
Kevin Rodríguez,25,4.0,500000.0,25,5,1069,4500000.0
Nicolás López,32,4.0,3000000.0,32,3,1077,4500000.0
Olimpiu Moruțan,26,4.0,4500000.0,36,6,2369,3000000.0
Kiril Despodov,29,4.0,4500000.0,48,19,3224,3000000.0
Rominigue Kouamé,29,3.0,4500000.0,32,1,2669,2500000.0
Can Bozdogan,24,3.0,4500000.0,29,1,2024,1000000.0
Igor Vujacic,31,2.0,4500000.0,44,2,3814,1000000.0
Oliver Abildgaard,29,3.0,4500000.0,22,0,744,850000.0
Kamal Miller,28,2.0,4500000.0,41,0,3504,570000.0
Facundo Colidio,26,4.0,3500000.0,45,5,2842,4400000.0
Batista Mendy,26,3.0,3000000.0,38,0,3115,4400000.0
Nahuel Ferraresi,27,2.0,1500000.0,4,0,264,4300000.0
Simo Keddari,21,2.0,500000.0,24,0,1640,4300000.0
Andy Pelmard,25,2.0,4300000.0,58,0,4820,1900000.0
Alexandre Penetra,24,2.0,4000000.0,36,4,3135,4200000.0
Willer Ditta,28,2.0,4000000.0,24,0,2116,4200000.0
Cristian Olivera,23,4.0,1000000.0,40,8,3213,4099999.9999999995
Kevin,23,4.0,4000000.0,30,11,1889,14800000.0
Igor Thiago,24,4.0,4000000.0,53,20,3234,11000000.0
Joseph Okumu,28,2.0,4000000.0,45,1,3713,10000000.0
Rodrigo Zalazar,26,3.0,4000000.0,23,2,1402,6000000.0
Francesco Acerbi,37,2.0,4000000.0,49,1,3828,4000000.0
David Zima,25,2.0,4000000.0,11,1,548,4000000.0
Olivier Deman,25,2.0,3000000.0,38,1,3011,4000000.0
Archie Brown,23,2.0,700000.0,36,5,3071,4000000.0
Cherif Ndiaye,30,4.0,2200000.0,12,8,810,4000000.0
Ulisses Garcia,30,2.0,3000000.0,34,2,2433,4000000.0
Hendry Blank,21,2.0,1000000.0,27,2,1770,4000000.0
Zion Suzuki,23,1.0,1000000.0,6,0,540,4000000.0
Million Manhoef,24,4.0,3500000.0,35,9,2500,4000000.0
Morgan Guilavogui,27,4.0,2500000.0,36,18,2270,4000000.0
Sverrir Ingi Ingason,32,2.0,4000000.0,36,3,3217,4000000.0
Skelly Alvero,23,3.0,3000000.0,33,2,1933,4000000.0
Ignacio Miramón,22,3.0,4000000.0,27,0,2134,4000000.0
Kristijan Belic,24,3.0,2500000.0,32,1,2034,4000000.0
Ibrahim Sadiq,25,4.0,2000000.0,16,12,1147,4000000.0
Aiyegun Tosin,27,4.0,3200000.0,40,16,2735,4000000.0
Alieu Fadera,24,4.0,3000000.0,38,9,3090,4000000.0
Ibrahim Sulemana,22,3.0,1500000.0,18,0,789,4000000.0
Amine Salama,25,4.0,1500000.0,28,3,1457,4000000.0
Omar Alderete,29,2.0,4000000.0,28,1,2270,4000000.0
Mohamed Amoura,25,4.0,2000000.0,36,10,1222,4000000.0
Jonathan Rodríguez,32,4.0,4000000.0,39,12,2784,4000000.0
Andrei Girotto,33,2.0,4000000.0,48,1,4145,4000000.0
Juan Carlos Gauto,21,4.0,4000000.0,34,2,2453,3900000.0
Oliver Christensen,26,1.0,4000000.0,34,0,3090,3800000.0
Carlos Salcedo,32,2.0,4000000.0,34,0,3078,3720000.0
Cade Cowell,22,4.0,4000000.0,27,1,1832,3700000.0
Cristian Pavón,30,4.0,4000000.0,50,4,3037,3500000.0
Shon Weissman,29,4.0,4000000.0,30,3,1656,3500000.0
Caio Paulista,27,2.0,4000000.0,51,5,3635,3450000.0
Sebastián Boselli,22,2.0,4000000.0,19,0,1710,3400000.0
Bryan Reynolds,24,2.0,4000000.0,34,1,2622,3330000.0
Jorge Rodríguez,30,3.0,4000000.0,56,2,4685,3290000.0
Kevin Zenón,24,4.0,4000000.0,36,3,2814,3200000.0
Mert Müldür,26,2.0,4000000.0,3,0,58,3000000.0
Pasquale Mazzocchi,30,2.0,4000000.0,27,2,1966,3000000.0
Marvelous Nakamba,32,3.0,4000000.0,20,0,1725,2900000.0
Tomás Chancalay,27,4.0,4000000.0,41,17,3365,2830000.0
Jerry Yates,29,4.0,4000000.0,43,15,3503,2800000.0
Marcelino Moreno,30,3.0,4000000.0,45,2,3093,2750000.0
Lucas Janson,31,4.0,4000000.0,40,8,2296,2720000.0
Siebe Van der Heyden,27,2.0,4000000.0,45,1,3954,2700000.0
Pantelis Hatzidiakos,29,2.0,4000000.0,52,0,4374,2700000.0
Senne Lynen,26,3.0,4000000.0,53,2,4448,2500000.0
Jan Kuchta,29,4.0,4000000.0,35,16,2825,2500000.0
Manu Morlanes,27,3.0,4000000.0,26,1,1631,2500000.0
Nemanja Matić,37,3.0,4000000.0,50,2,3114,2500000.0
Florian Lejeune,34,2.0,4000000.0,32,4,2659,2500000.0
Ramón Terrats,25,3.0,4000000.0,33,1,1730,2500000.0
Philip Zinckernagel,31,4.0,4000000.0,35,12,2657,2500000.0
Andreaw Gravillon,27,2.0,4000000.0,22,0,1533,2500000.0
Gilberto,32,2.0,4000000.0,56,5,3578,2500000.0
Jefferson Savarino,29,3.0,4000000.0,34,11,2806,2450000.0
David Turnbull,26,3.0,4000000.0,38,5,1215,2330000.0
Ezequiel Unsain,30,1.0,4000000.0,28,0,2520,2300000.0
Dion Sanderson,26,2.0,4000000.0,34,2,2999,2300000.0
Jason Knight,24,3.0,4000000.0,47,3,3458,2300000.0
Elia Caprile,24,1.0,4000000.0,43,0,3870,2200000.0
Efraín Álvarez,23,3.0,4000000.0,11,0,378,2049999.9999999998
Kevin Behrens,35,4.0,4000000.0,46,10,1986,2000000.0
Karim Rekik,31,2.0,4000000.0,22,1,1500,2000000.0
Simone Verdi,33,3.0,4000000.0,25,5,1122,1800000.0
Sikou Niakaté,26,2.0,4000000.0,34,3,2830,1800000.0
Nemanja Radonjic,29,4.0,4000000.0,30,4,1616,1700000.0
Marin Pongracic,28,2.0,4000000.0,9,0,791,1600000.0
Rubén Blanco,30,1.0,4000000.0,7,0,586,1500000.0
Rassoul Ndiaye,24,3.0,4000000.0,33,1,2563,1500000.0
Kevin Mac Allister,28,2.0,4000000.0,27,4,2360,1500000.0
Aaron Connolly,26,4.0,4000000.0,11,2,556,1350000.0
Falaye Sacko,30,2.0,4000000.0,36,1,2587,1300000.0
Djaniny,34,4.0,4000000.0,41,6,2186,1010000.0
Nadiem Amiri,29,3.0,4000000.0,36,4,1378,1000000.0
Juan Dinenno,31,4.0,4000000.0,37,14,2871,1000000.0
Rémi Oudin,29,3.0,4000000.0,31,3,1316,1000000.0
Marco Burch,25,2.0,4000000.0,27,3,2383,650000.0
Pape Abou Cissé,30,2.0,4000000.0,19,1,1474,600000.0
Bogdan Mykhaylichenko,28,2.0,4000000.0,32,2,2370,170000.0
David Møller Wolfe,23,2.0,2500000.0,14,0,1118,3900000.0
Woo-yeong Jeong,26,3.0,3500000.0,34,2,1039,3800000.0
Leonardo Godoy,30,2.0,3800000.0,47,4,3884,3640000.0
Alessio Castro-Montes,28,3.0,3800000.0,46,1,3304,2000000.0
Facundo Cambeses,28,1.0,3800000.0,44,0,3960,1830000.0
Mateo Coronel,27,4.0,3800000.0,41,10,2945,1660000.0
Andrej Ilic,25,4.0,2300000.0,54,30,4433,3750000.0
Ken Nkuba,24,2.0,3500000.0,29,4,2218,3750000.0
Breno Lemos,22,3.0,600000.0,50,6,3203,3750000.0
Guillermo Martínez,30,4.0,3000000.0,27,11,1086,3720000.0
Kaan Ayhan,31,3.0,3700000.0,17,2,832,2800000.0
Andrei Burcă,32,2.0,3700000.0,44,0,3800,1000000.0
Ignacio Ramírez,29,4.0,1800000.0,43,21,2682,3650000.0
Keigo Tsunemoto,27,2.0,600000.0,20,0,1273,3600000.0
Alessio Cragno,31,1.0,3000000.0,4,0,360,3600000.0
Braian Ojeda,25,3.0,1500000.0,42,0,3125,3600000.0
Mads Hermansen,25,1.0,3500000.0,31,0,2820,9040000.0
Matija Frigan,22,4.0,3500000.0,31,15,2397,5950000.0
Louis Patris,24,2.0,3000000.0,35,2,2949,3500000.0
Tsuyoshi Watanabe,29,2.0,2800000.0,36,1,3240,3500000.0
Josep Martínez,27,1.0,3500000.0,32,0,2880,3500000.0
Eguinaldo,21,4.0,900000.0,12,0,266,3500000.0
Mads Andersen,28,2.0,2000000.0,51,2,4512,3500000.0
Abdoulaye Ndiaye,23,2.0,1500000.0,29,1,2440,3500000.0
Jonah Kusi-Asare,18,4.0,300000.0,4,0,62,3500000.0
Ezequiel Ponce,28,4.0,2500000.0,37,6,1294,3500000.0
Maximiliano Caufriez,28,2.0,2500000.0,28,1,2321,3500000.0
Portu,33,4.0,3500000.0,37,0,2003,3500000.0
Kwadwo Duah,28,4.0,1300000.0,37,11,2738,3500000.0
Xande Silva,28,4.0,700000.0,45,10,2907,3500000.0
Szymon Żurkowski,28,3.0,3500000.0,15,0,567,3380000.0
Martín Payero,27,3.0,3500000.0,15,4,752,3000000.0
Saïdou Sow,23,2.0,3500000.0,32,0,2446,3000000.0
Paul Akouokou,28,3.0,3500000.0,18,0,806,3000000.0
Djordje Jovanovic,26,4.0,3500000.0,43,22,3440,2800000.0
Andi Zeqiri,26,4.0,3500000.0,50,18,2873,2750000.0
Djordje Mihailovic,27,3.0,3500000.0,20,1,576,2730000.0
David Brekalo,27,2.0,3500000.0,31,3,2663,2600000.0
Tim Breithaupt,24,3.0,3500000.0,24,2,1999,2500000.0
Ivo Grbic,30,1.0,3500000.0,13,0,1011,2500000.0
Filippo Bandinelli,30,3.0,3500000.0,36,2,2336,2500000.0
Mario González,29,4.0,3500000.0,36,16,2342,2340000.0
Luis Muriel,34,4.0,3500000.0,31,3,1121,2100000.0
Kanu,28,2.0,3500000.0,50,1,4265,2000000.0
Lee Buchanan,24,2.0,3500000.0,23,1,609,1500000.0
Sergio Rochet,32,1.0,3500000.0,49,0,4410,1450000.0
Gabriel Pirani,23,3.0,3500000.0,36,3,1648,1200000.0
Tom Holmes,25,2.0,3500000.0,42,0,3550,1150000.0
Cristian Cásseres Jr.,26,3.0,3500000.0,19,1,1650,1000000.0
Francisco Moura,26,2.0,3500000.0,37,2,2898,1000000.0
Marcel Halstenberg,34,2.0,3500000.0,40,2,2053,700000.0
Zymer Bytyqi,29,4.0,3500000.0,26,1,1866,500000.0
Slobodan Urosevic,31,2.0,3500000.0,47,6,4165,200000.0
