Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Javi Hernández,27,2,,26,1,1220,3.0,2500000.0,True,False,False,False,False,False
Otabek Shukurov,29,3,,31,1,2167,3.0,2500000.0,True,False,False,False,False,False
Aylton Boa Morte,32,4,,31,13,2786,1.0,2500000.0,True,False,False,False,False,False
Sorriso,24,4,,46,9,2251,6.0,2500000.0,True,False,False,False,False,False
Bilal Boutobba,27,4,,39,11,3302,4.0,2500000.0,True,False,False,False,False,False
Choco Lozano,32,4,,28,1,1440,1.0,2500000.0,True,False,False,False,False,False
Edouard Michut,22,3,,31,2,1638,4.0,2500000.0,True,False,False,False,False,False
Kamory Doumbia,22,3,,29,2,1383,6.0,2500000.0,False,False,False,True,False,False
Luca D'Andrea,21,4,,28,8,2292,3.0,2500000.0,True,False,False,False,False,False
Emre Mor,28,4,,41,6,1590,3.0,2500000.0,True,False,False,False,False,False
Raymundo Fulgencio,25,4,,34,2,1783,5.0,2500000.0,True,False,False,False,False,False
Jhon Murillo,30,4,,37,3,2651,4.0,2500000.0,True,False,False,False,False,False
Kevin Bonifazi,29,2,,15,0,1081,3.0,2500000.0,False,False,False,False,False,True
Everton Ribeiro,36,3,,62,3,3374,3.0,2500000.0,True,False,False,False,False,False
Santiago Arias,34,2,,32,3,2100,4.0,2500000.0,True,False,False,False,False,False
Carlos de Pena,33,4,,54,5,3069,1.0,2500000.0,True,False,False,False,False,False
Victor Lekhal,31,3,,38,6,3288,1.0,2500000.0,True,False,False,False,False,False
Tomás Galván,25,3,,29,7,1684,3.0,2500000.0,True,False,False,False,False,False
Deiber Caicedo,25,4,,47,6,2254,4.0,2500000.0,True,False,False,False,False,False
Eddie Salcedo,24,4,,24,4,745,3.0,2500000.0,True,False,False,False,False,False
Adam Maher,32,3,,30,0,2606,1.0,2500000.0,True,False,False,False,False,False
Chico Geraldes,30,3,,28,4,1893,1.0,2500000.0,True,False,False,False,False,False
Mamadou Loum,29,3,,32,1,2230,4.0,2500000.0,True,False,False,False,False,False
Luciano Vietto,32,4,,27,7,1515,3.0,2500000.0,True,False,False,False,False,False
Marcel Tisserand,33,2,,30,0,2603,4.0,2500000.0,True,False,False,False,False,False
Alexandru Mitriță,31,4,,28,6,2176,3.0,2500000.0,True,False,False,False,False,False
Konstantin Kuchaev,27,3,,23,3,1346,6.0,2500000.0,True,False,False,False,False,False
